COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision,Estimated re-assessment,Domain,Unique_ID,Domain_status,Taxonomic group_status,Scientific name_status,COSEWIC common name_status,COSEWIC population_status,COSEWIC status_status,Scheduled Assessment,Range_status
Frosted Glass-whiskers,Atlantic population,Special Concern,2014-11-28,Sclerophora peronella,Frosted Glass-whiskers,Atlantic population,Special Concern,2006-08-15,Schedule 1,2006-08-15,Nova Scotia,Lichens,NA,Added to list,2024-11-28,Terrestrial,Sclerophora peronella - Frosted Glass-whiskers (Atlantic population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Frosted Glass-whiskers,Pacific population,Data Deficient,2014-11-28,Sclerophora peronella,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Lichens,NA,NA,2024-11-28,Terrestrial,Sclerophora peronella - Frosted Glass-whiskers (Pacific population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Margined Streamside Moss,NA,Endangered,2012-05-04,Scouleria marginata,Margined Streamside Moss,NA,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,Mosses,NA,Added to list,2022-05-04,Terrestrial,Scouleria marginata - Margined Streamside Moss,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Peacock Vinyl Lichen,NA,Special Concern,9999-01-01,Scytinium polycarpum,NA,NA,NA,9999-01-01,NA,9999-01-01,"BC, CMN, CWS, Parks",Lichens,NA,NA,9999-01-01,Terrestrial,Scytinium polycarpum - Peacock Vinyl Lichen,Terrestrial,Lichens,Scytinium polycarpum,Peacock Vinyl Lichen,NA,Special Concern,9999-01-01,"BC, CMN, CWS, Parks"
Darkblotched Rockfish,NA,Special Concern,2009-11-27,Sebastes crameri,Darkblotched Rockfish,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,Fishes (marine),Addition,Pending,2019-11-27,Aquatic,Sebastes crameri - Darkblotched Rockfish,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Acadian Redfish,Atlantic population,Threatened,2010-04-25,Sebastes fasciatus,Acadian Redfish,Atlantic population,No Status,9999-01-01,No schedule,9999-01-01,Atlantic Ocean,Fishes (marine),Addition,Pending,2020-04-25,Aquatic,Sebastes fasciatus - Acadian Redfish (Atlantic population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Acadian Redfish,Bonne Bay population,Special Concern,2010-04-25,Sebastes fasciatus,Acadian Redfish,Bonne Bay population,No Status,9999-01-01,No schedule,9999-01-01,Atlantic Ocean,Fishes (marine),Addition,Pending,2020-04-25,Aquatic,Sebastes fasciatus - Acadian Redfish (Bonne Bay population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Quillback Rockfish,NA,Threatened,2009-11-27,Sebastes maliger,Quillback Rockfish,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,Fishes (marine),Addition,Pending,2019-11-27,Aquatic,Sebastes maliger - Quillback Rockfish,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Deepwater Redfish,Gulf of St. Lawrence - Laurentian Channel population,Endangered,2010-04-25,Sebastes mentella,Deepwater Redfish,Gulf of St. Lawrence - Laurentian Channel population,No Status,9999-01-01,No schedule,9999-01-01,Atlantic Ocean,Fishes (marine),Addition,Pending,2020-04-25,Aquatic,Sebastes mentella - Deepwater Redfish (Gulf of St. Lawrence - Laurentian Channel population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Deepwater Redfish,Northern population,Threatened,2010-04-25,Sebastes mentella,Deepwater Redfish,Northern population,No Status,9999-01-01,No schedule,9999-01-01,Atlantic Ocean,Fishes (marine),Addition,Pending,2020-04-25,Aquatic,Sebastes mentella - Deepwater Redfish (Northern population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bocaccio,NA,Endangered,2013-11-01,Sebastes paucispinis,Bocaccio,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,Fishes (marine),Addition,Pending,2023-11-01,Aquatic,Sebastes paucispinis - Bocaccio,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Canary Rockfish,NA,Threatened,2007-11-30,Sebastes pinniger,Canary Rockfish,NA,No Status,2011-06-23,No schedule,9999-01-01,Pacific Ocean,Fishes (marine),NA,Not to list,2017-11-30,Aquatic,Sebastes pinniger - Canary Rockfish,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Yellowmouth Rockfish,NA,Threatened,2010-04-25,Sebastes reedi,Yellowmouth Rockfish,NA,No Status,2017-04-13,No schedule,9999-01-01,Pacific Ocean,Fishes (marine),NA,Not to list,2020-04-25,Aquatic,Sebastes reedi - Yellowmouth Rockfish,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Yelloweye Rockfish,Pacific Ocean inside waters population,Threatened,2020-11-04,Sebastes ruberrimus,Yelloweye Rockfish,Pacific Ocean inside waters population,Special Concern,9999-01-01,Schedule 1,2011-06-23,"British Columbia, Pacific Ocean",Fishes (marine),Status change,Pending,2030-11-04,Aquatic,Sebastes ruberrimus - Yelloweye Rockfish (Pacific Ocean inside waters population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Yelloweye Rockfish,Pacific Ocean outside waters population,Threatened,2020-11-04,Sebastes ruberrimus,Yelloweye Rockfish,Pacific Ocean outside waters population,Special Concern,9999-01-01,Schedule 1,2011-06-23,"British Columbia, Pacific Ocean",Fishes (marine),Status change,Pending,2030-11-04,Aquatic,Sebastes ruberrimus - Yelloweye Rockfish (Pacific Ocean outside waters population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Rougheye Rockfish type I,NA,Special Concern,2007-04-22,Sebastes sp. type I,Rougheye Rockfish type I,NA,Special Concern,2009-03-05,Schedule 1,2009-03-05,Pacific Ocean,Fishes (marine),NA,Added to list,2017-04-22,Aquatic,Sebastes sp. type I - Rougheye Rockfish type I,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Rougheye Rockfish type II,NA,Special Concern,2007-04-22,Sebastes sp. type II,Rougheye Rockfish type II,NA,Special Concern,2009-03-05,Schedule 1,2009-03-05,Pacific Ocean,Fishes (marine),NA,Added to list,2017-04-22,Aquatic,Sebastes sp. type II - Rougheye Rockfish type II,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Longspine Thornyhead,NA,Special Concern,2007-04-22,Sebastolobus altivelis,Longspine Thornyhead,NA,Special Concern,2009-03-05,Schedule 1,2009-03-05,Pacific Ocean,Fishes (marine),NA,Added to list,2017-04-22,Aquatic,Sebastolobus altivelis - Longspine Thornyhead,Aquatic,Fishes (marine),Sebastolobus altivelis,Longspine Thornyhead,NA,Special Concern,9999-01-01,"BC, CWS, DFO, Parks, Pacific Ocean"
Rufous Hummingbird,NA,Not applicable,9999-01-01,Selasphorus rufus,NA,NA,NA,9999-01-01,NA,9999-01-01,"AB, BC, CMN, CWS, Parks, YT",Birds,NA,NA,9999-01-01,Terrestrial,Selasphorus rufus - Rufous Hummingbird,Terrestrial,Birds,Selasphorus rufus,Rufous Hummingbird,NA,Not applicable,2026-November-01,"AB, BC, CMN, CWS, Parks, YT"
Acuteleaf Small Limestone Moss,NA,Endangered,2018-04-27,Seligeria acutifolia,Acuteleaf Small Limestone Moss,NA,Endangered,2021-04-23,Schedule 1,2021-04-23,British Columbia,Mosses,NA,Added to list,2028-04-27,Terrestrial,Seligeria acutifolia - Acuteleaf Small Limestone Moss,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Carey’s Small Limestone Moss,NA,Endangered,2019-05-03,Seligeria careyana,Carey’s Small Limestone Moss,NA,Endangered,2023-02-03,Schedule 1,2023-02-03,British Columbia,Mosses,NA,Added to list,2029-05-03,Terrestrial,Seligeria careyana - Carey’s Small Limestone Moss,NA,NA,NA,NA,NA,NA,9999-01-01,NA
White-top Aster,NA,Special Concern,2009-04-26,Sericocarpus rigidus,White-top Aster,NA,Special Concern,2011-02-04,Schedule 1,2003-06-05,British Columbia,Vascular Plants,NA,Downlisted: Threatened to special concern,2019-04-26,Terrestrial,Sericocarpus rigidus - White-top Aster,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Cerulean Warbler,NA,Endangered,2010-11-26,Setophaga cerulea,Cerulean Warbler,NA,Endangered,2017-11-02,Schedule 1,2005-01-12,"Ontario, Quebec",Birds,NA,Uplisted: Special Concern to endangered,2020-11-26,Terrestrial,Setophaga cerulea - Cerulean Warbler,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Hooded Warbler,NA,Not at Risk,2012-05-04,Setophaga citrina,Hooded Warbler,NA,No Status,2017-11-02,No schedule,2003-06-05,Ontario,Birds,NA,Delisted: Threatened to not at risk,2022-05-04,Terrestrial,Setophaga citrina - Hooded Warbler,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Prairie Warbler,NA,Not at Risk,1999-04-01,Setophaga discolor,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Birds,NA,NA,2009-04-01,Terrestrial,Setophaga discolor - Prairie Warbler,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Kirtland's Warbler,NA,Endangered,2024-05-09,Setophaga kirtlandii,Kirtland's Warbler,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,"Ontario, Quebec",Birds,NA,Added to list,2034-05-09,Terrestrial,Setophaga kirtlandii - Kirtland's Warbler,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Bluebird,NA,Not at Risk,1996-04-01,Sialia sialis,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, Manitoba, New Brunswick, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",Birds,NA,NA,2006-04-01,Terrestrial,Sialia sialis - Eastern Bluebird,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Virginia Mallow,NA,Endangered,2010-04-25,Sida hermaphrodita,Virginia Mallow,NA,Endangered,2012-06-20,Schedule 1,2012-06-20,Ontario,Vascular Plants,NA,Added to list,2020-04-25,Terrestrial,Sida hermaphrodita - Virginia Mallow,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Coastal Scouler's Catchfly,NA,Endangered,2003-05-01,Silene scouleri ssp. grandis,Coastal Scouler's Catchfly,NA,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,Vascular Plants,NA,Added to list,2013-05-01,Terrestrial,Silene scouleri ssp. grandis - Coastal Scouler's Catchfly,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Spalding's Campion,NA,Endangered,2005-05-05,Silene spaldingii,Spalding's Campion,NA,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Vascular Plants,NA,Added to list,2015-05-05,Terrestrial,Silene spaldingii - Spalding's Campion,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Prairie-dock,NA,Special Concern,2024-05-09,Silphium terebinthinaceum,Prairie-dock,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Vascular Plants,Addition,Pending,2034-05-09,Terrestrial,Silphium terebinthinaceum - Prairie-dock,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Salamander Mussel,NA,Endangered,2011-05-06,Simpsonaias ambigua,Salamander Mussel,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Molluscs,NA,Added to list,2021-05-06,Aquatic,Simpsonaias ambigua - Salamander Mussel,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Massasauga,NA,Non-active,2012-11-25,Sistrurus catenatus,Massasauga,NA,No Status,2018-02-02,No schedule,2005-01-12,Ontario,Reptiles,NA,Struck - WS reassignment,2022-11-25,Terrestrial,Sistrurus catenatus - Massasauga,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Massasauga,Carolinian population,Endangered,2012-11-25,Sistrurus catenatus,Massasauga,Carolinian population,Endangered,2018-02-02,Schedule 1,2005-01-12,Ontario,Reptiles,NA,Uplisted: Threatened to endangered,2022-11-25,Terrestrial,Sistrurus catenatus - Massasauga (Carolinian population),Terrestrial,Reptiles,Sistrurus catenatus,Massasauga ,Carolinian population,Endangered,2025-April-01,"CMN, CWS, ON, Parks"
Massasauga,Great Lakes / St. Lawrence population,Threatened,2012-11-25,Sistrurus catenatus,Massasauga,Great Lakes / St. Lawrence population,Threatened,9999-01-01,Schedule 1,2005-01-12,Ontario,Reptiles,NA,NA,2022-11-25,Terrestrial,Sistrurus catenatus - Massasauga (Great Lakes / St. Lawrence population),Terrestrial,Reptiles,Sistrurus catenatus,Massasauga ,Great Lakes / St. Lawrence population,Threatened,2025-April-01,"CMN, CWS, ON, Parks"
Round-leaved Greenbrier,Atlantic population,Not at Risk,2007-11-30,Smilax rotundifolia,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Nova Scotia,Vascular Plants,NA,NA,2017-11-30,Terrestrial,Smilax rotundifolia - Round-leaved Greenbrier (Atlantic population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Round-leaved Greenbrier,Great Lakes Plains population,Threatened,2007-11-30,Smilax rotundifolia,Round-leaved Greenbrier,Great Lakes Plains population,Threatened,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,NA,Added to list,2017-11-30,Terrestrial,Smilax rotundifolia - Round-leaved Greenbrier (Great Lakes Plains population),Terrestrial,Vascular plants,Smilax rotundifolia,Round-leaved Greenbrier ,Great Lakes Plains population,Threatened,2025-November-01,"CMN, CWS, ON, Parks"
Gillman's Goldenrod,NA,Endangered,2019-11-29,Solidago gillmanii,Gillman's Goldenrod,NA,Endangered,2024-06-10,Schedule 1,2024-06-10,Ontario,Vascular Plants,NA,Added to list,2029-11-29,Terrestrial,Solidago gillmanii - Gillman's Goldenrod,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Houghton's Goldenrod,NA,Special Concern,2005-05-05,Solidago houghtonii,Houghton's Goldenrod,NA,Special Concern,2006-08-15,Schedule 1,2006-08-15,Ontario,Vascular Plants,NA,Added to list,2015-05-05,Terrestrial,Solidago houghtonii - Houghton's Goldenrod,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Riddell's Goldenrod,NA,Special Concern,2000-11-01,Solidago riddellii,Riddell's Goldenrod,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,"Manitoba, Ontario",Vascular Plants,NA,Added to list,2010-11-01,Terrestrial,Solidago riddellii - Riddell's Goldenrod,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Showy Goldenrod,NA,Non-active,2010-11-26,Solidago speciosa,Showy Goldenrod,NA,No Status,2018-02-02,No schedule,2003-06-05,Ontario,Vascular Plants,NA,Struck - WS reassignment,2020-11-26,Terrestrial,Solidago speciosa - Showy Goldenrod,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Showy Goldenrod,Boreal population,Threatened,2010-11-26,Solidago speciosa,Showy Goldenrod,Boreal population,Threatened,2018-02-02,Schedule 1,2003-06-05,Ontario,Vascular Plants,NA,Downlisted: Endangered to threatened,2020-11-26,Terrestrial,Solidago speciosa - Showy Goldenrod (Boreal population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Showy Goldenrod,Great Lakes Plains population,Endangered,2010-11-26,Solidago speciosa,Showy Goldenrod,Great Lakes Plains population,Endangered,9999-01-01,Schedule 1,2003-06-05,Ontario,Vascular Plants,NA,NA,2020-11-26,Terrestrial,Solidago speciosa - Showy Goldenrod (Great Lakes Plains population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Hine's Emerald,NA,Endangered,2011-05-06,Somatochlora hineana,Hine's Emerald,NA,Endangered,2017-06-02,Schedule 1,2017-06-02,Ontario,Arthropods,NA,Added to list,2021-05-06,Terrestrial,Somatochlora hineana - Hine's Emerald,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Greenland Shark,NA,Not applicable,9999-01-01,Somniosus microcephalus,NA,NA,NA,9999-01-01,NA,9999-01-01,"Arctic Ocean, Atlantic Ocean, CMN, CWS, DFO, HFTCC, NB, NL, NMRWB, NS, NU, NWMB, Parks, PE, QC, TJFB",Fishes (marine),NA,NA,9999-01-01,Aquatic,Somniosus microcephalus - Greenland Shark,Aquatic,Fishes (marine),Somniosus microcephalus,Greenland Shark,NA,Not applicable,2025-April-01,"Arctic Ocean, Atlantic Ocean, CMN, CWS, DFO, HFTCC, NB, NL, NMRWB, NS, NU, NWMB, Parks, PE, QC, TJFB"
Pacific Water Shrew,NA,Endangered,2016-04-29,Sorex bendirii,Pacific Water Shrew,NA,Endangered,2007-12-13,Schedule 1,2003-06-05,British Columbia,Mammals (terrestrial),NA,Uplisted,2026-04-29,Terrestrial,Sorex bendirii - Pacific Water Shrew,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Gaspé Shrew,NA,Not at Risk,2006-04-29,Sorex gaspensis,Gaspé Shrew,NA,NA,9999-01-01,NA,9999-01-01,"New Brunswick, Nova Scotia, Quebec",Mammals (terrestrial),NA,NA,2016-04-29,Terrestrial,Sorex gaspensis - Gaspé Shrew,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Plains Spadefoot,NA,Not at Risk,2003-05-01,Spea bombifrons,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, Manitoba, Saskatchewan",Amphibians,NA,NA,2013-05-01,Terrestrial,Spea bombifrons - Plains Spadefoot,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Great Basin Spadefoot,NA,Threatened,2019-11-29,Spea intermontana,Great Basin Spadefoot,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,Amphibians,NA,Added to list,2029-11-29,Terrestrial,Spea intermontana - Great Basin Spadefoot,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Cascade Mantled Ground Squirrel,NA,Not at Risk,1992-04-01,Spermophilus saturatus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Mammals (terrestrial),NA,NA,2002-04-01,Terrestrial,Spermophilus saturatus - Cascade Mantled Ground Squirrel,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Circular-leaved Peat Moss,NA,Endangered,2024-11-28,Sphagnum cyclophyllum,Circular-leaved Peat Moss,NA,No Status,9999-01-01,No schedule,9999-01-01,Nova Scotia,Mosses,Addition,Pending,2034-11-28,Terrestrial,Sphagnum cyclophyllum - Circular-leaved Peat Moss,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Williamson's Sapsucker,NA,Endangered,2017-11-01,Sphyrapicus thyroideus,Williamson's Sapsucker,NA,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Birds,NA,Added to list,2027-11-01,Terrestrial,Sphyrapicus thyroideus - Williamson's Sapsucker,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Ute Ladies’–tresses,NA,Endangered,2018-11-01,Spiranthes diluvialis,Ute Ladies’–tresses,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Vascular Plants,Addition,Pending,2028-11-01,Terrestrial,Spiranthes diluvialis - Ute Ladies’–tresses,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Longfin Smelt,Pygmy population,Data Deficient,2004-11-01,Spirinchus thaleichthys,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Fishes (freshwater),NA,NA,2014-11-01,Aquatic,Spirinchus thaleichthys - Longfin Smelt (Pygmy population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Spiny Dogfish,Atlantic population,Special Concern,2010-04-25,Squalus acanthias,Spiny Dogfish,Atlantic population,No Status,9999-01-01,No schedule,9999-01-01,Atlantic Ocean,Fishes (marine),Addition,Pending,2020-04-25,Aquatic,Squalus acanthias - Spiny Dogfish (Atlantic population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
North Pacific Spiny Dogfish,NA,Special Concern,2011-11-25,Squalus suckleyi,North Pacific Spiny Dogfish,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,Fishes (marine),Addition,Pending,2021-11-25,Aquatic,Squalus suckleyi - North Pacific Spiny Dogfish,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Haida Gwaii Slug,NA,Special Concern,2013-05-03,Staala gwaii,Haida Gwaii Slug,NA,Special Concern,2018-02-02,Schedule 1,2018-02-02,British Columbia,Molluscs,NA,Added to list,2023-05-03,Terrestrial,Staala gwaii - Haida Gwaii Slug,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Vancouver Island Shieldback,NA,Endangered,2022-05-11,Steiroxys strepens,Vancouver Island Shieldback,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Arthropods,Addition,Pending,2032-05-11,Terrestrial,Steiroxys strepens - Vancouver Island Shieldback,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Sand Stitchwort,NA,Not at Risk,1992-04-01,Stellaria arenicola,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, Saskatchewan",Vascular Plants,NA,NA,2002-04-01,Terrestrial,Stellaria arenicola - Sand Stitchwort,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Striped Dolphin,NA,Not at Risk,1993-04-01,Stenella coeruleoalba,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Pacific Ocean",Mammals (marine),NA,NA,2003-04-01,Aquatic,Stenella coeruleoalba - Striped Dolphin,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northern Mock Goldenweed,NA,Not at Risk,1997-04-01,Stenotus borealis,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Yukon,Vascular Plants,NA,NA,2007-04-01,Terrestrial,Stenotus borealis - Northern Mock Goldenweed,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Rush Pink,NA,Not at Risk,1996-04-01,Stephanomeria runcinata,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, Saskatchewan",Vascular Plants,NA,NA,2006-04-01,Terrestrial,Stephanomeria runcinata - Rush Pink,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Caspian Tern,NA,Not at Risk,1999-04-01,Sterna caspia,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, Newfoundland and Labrador, Northwest Territories, Ontario, Quebec, Saskatchewan",Birds,NA,NA,2009-04-01,Terrestrial,Sterna caspia - Caspian Tern,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Roseate Tern,NA,Endangered,2023-05-05,Sterna dougallii,Roseate Tern,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,"Atlantic Ocean, New Brunswick, Nova Scotia, Quebec",Birds,NA,Added to list,2033-05-05,Terrestrial,Sterna dougallii - Roseate Tern,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Forster's Tern,NA,Data Deficient,1996-04-01,Sterna forsteri,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, Ontario, Saskatchewan",Birds,NA,NA,2006-04-01,Terrestrial,Sterna forsteri - Forster's Tern,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Common Tern,NA,Not at Risk,1998-04-01,Sterna hirundo,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",Birds,NA,NA,2008-04-01,Terrestrial,Sterna hirundo - Common Tern,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Musk Turtle,NA,Special Concern,2012-11-25,Sternotherus odoratus,Eastern Musk Turtle,NA,Special Concern,2018-02-02,Schedule 1,2005-01-12,"Ontario, Quebec",Reptiles,NA,Downlisted: Threatened to special concern,2022-11-25,Terrestrial,Sternotherus odoratus - Eastern Musk Turtle,Terrestrial,Reptiles,Sternotherus odoratus,Eastern Musk Turtle,NA,Special Concern,2025-November-01,"CWS, ON, Parks, QC"
DeKay's Brownsnake,NA,Not at Risk,2002-05-01,Storeria dekayi,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Ontario, Quebec",Reptiles,NA,NA,2012-05-01,Terrestrial,Storeria dekayi - DeKay's Brownsnake,NA,NA,NA,NA,NA,NA,9999-01-01,NA
